model_M,model_L,energy_gev,phase_deg
60,10,0.436535995458,2.45118888231
60,10,0.450880365715,2.89735427106
60,10,0.466535590179,3.36194721735
60,10,0.483656544796,3.91523985438
60,10,0.502435624615,4.73596503115
60,10,0.523111538856,5.45561979415
60,10,0.545950125,6.94441221228
60,10,0.571279492499,8.09601406548
60,10,0.599506796738,11.0327915816
60,10,0.631122210215,13.7347824141
60,10,0.666748403906,22.4024660667
60,10,0.707138257137,47.201251236
60,10,0.75329840264,74.0373980935
60,10,0.806486266442,107.987140457
60,10,0.868406239189,150.820678586
60,10,0.941316776136,169.548487246
60,10,1.02836573025,172.516067059
60,10,1.13400696045,181.784159537
