drawing_index,epsilon,color,role,x,y,pdf_x,pdf_y,pdf_marker_radius
510,0.0006,purple,boundary_sample,0.04031730509871882,-0.002587014333440968,272.40000915527344,229.38499450683594,2.3769989013671875
511,0.0006,purple,boundary_sample,0.04100124573777742,-0.0026420305466193375,275.906005859375,231.52149963378906,2.378997802734375
512,0.0006,purple,boundary_sample,0.0006831401843227223,-0.00029902543628133047,69.22850036621094,140.5330047607422,2.3765029907226562
513,0.0006,purple,boundary_sample,0.0013673740228683999,-0.00034499009183936894,72.73600006103516,142.31800079345703,2.3769989013671875
514,0.0006,purple,boundary_sample,0.0020501448406232076,-0.00039096771383768567,76.23600006103516,144.10350036621094,2.3769989013671875
515,0.0006,purple,boundary_sample,0.0027333055988126116,-0.00043502689205846386,79.73799896240234,145.8144989013672,2.378997802734375
516,0.0006,purple,boundary_sample,0.0034172469820323422,-0.0004820088237946994,83.24399948120117,147.63899993896484,2.377002716064453
517,0.0006,purple,boundary_sample,0.00410001779978715,-0.0005259650563381167,86.74399948120117,149.34600067138672,2.377002716064453
518,0.0006,purple,boundary_sample,0.004783569242572285,-0.0005710285442968137,90.24800109863281,151.09600067138672,2.3769989013671875
519,0.0006,purple,boundary_sample,0.005467119941196284,-0.0006169931998548521,93.75199890136719,152.88099670410156,2.3769989013671875
520,0.0006,purple,boundary_sample,0.0061506713839814195,-0.0006610009052369498,97.25600051879883,154.58999633789062,2.377002716064453
521,0.0006,purple,boundary_sample,0.006833442201736227,-0.0007040043008811288,100.75600051879883,156.25999450683594,2.377002716064453
522,0.0006,purple,boundary_sample,0.007517383584955958,-0.0007499691529003835,104.26200103759766,158.0449981689453,2.378997802734375
523,0.0006,purple,boundary_sample,0.008200544343145362,-0.0007950326408590805,107.76399993896484,159.7949981689453,2.3769989013671875
524,0.0006,purple,boundary_sample,0.008884095041769362,-0.0008389888734024977,111.26799774169922,161.5019989013672,2.3769989013671875
525,0.0006,purple,boundary_sample,0.009567548999445848,-0.000883048051623276,114.77149963378906,163.21299743652344,2.3765029907226562
526,0.0006,purple,boundary_sample,0.010250319817200655,-0.0009239913549529368,118.27149963378906,164.80299377441406,2.3765029907226562
527,0.0006,purple,boundary_sample,0.010934553655746332,-0.0009709605167101104,121.77899932861328,166.6269989013672,2.3769989013671875
528,0.0006,purple,boundary_sample,0.011617324473501141,-0.0010150196949308887,125.27899932861328,168.33799743652344,2.3769989013671875
529,0.0006,purple,boundary_sample,0.012300096035417082,-0.001057971617736387,128.77900314331055,170.00599670410156,2.377002716064453
530,0.0006,purple,boundary_sample,0.01298442735907141,-0.0011020307959571653,132.28700256347656,171.7169952392578,2.3769989013671875
531,0.0006,purple,boundary_sample,0.013667198176826217,-0.0011350174200251456,135.78700256347656,172.9980010986328,2.3769989013671875
532,0.0006,purple,boundary_sample,0.014349968994581026,-0.0011839948083357242,139.28700256347656,174.89999389648438,2.3769989013671875
533,0.0006,purple,boundary_sample,0.015034299574074218,-0.0012319940162501567,142.7949981689453,176.76399993896484,2.3769989013671875
534,0.0006,purple,boundary_sample,0.015717070391829024,-0.0012740318050160355,146.2949981689453,178.39649963378906,2.3769989013671875
535,0.0006,purple,boundary_sample,0.016400621090453024,-0.0013169837278215338,149.7989959716797,180.0644989013672,2.3769989013671875
536,0.0006,purple,boundary_sample,0.017084171789077025,-0.0013600258263253312,153.30299377441406,181.73600006103516,2.3769989013671875
537,0.0006,purple,boundary_sample,0.017767723976023293,-0.0013960507231039756,156.80699920654297,183.13499450683594,2.3770065307617188
538,0.0006,purple,boundary_sample,0.018450494793778104,-0.0014450285043369868,160.30699920654297,185.03700256347656,2.3770065307617188
539,0.0006,purple,boundary_sample,0.019134338691889182,-0.0014869761174045664,163.8125,186.66600036621094,2.3784942626953125
540,0.0006,purple,boundary_sample,0.019817499450078588,-0.001529026676149507,167.3144989013672,188.2989959716797,2.376495361328125
